#           k/h    P           
   0.405520E-03   0.160801E+04
   0.413712E-03   0.163915E+04
   0.422070E-03   0.167087E+04
   0.430596E-03   0.170321E+04
   0.439295E-03   0.173615E+04
   0.448169E-03   0.176973E+04
   0.457222E-03   0.180394E+04
   0.466459E-03   0.183880E+04
   0.475882E-03   0.187432E+04
   0.485496E-03   0.191052E+04
   0.495303E-03   0.194740E+04
   0.505309E-03   0.198498E+04
   0.515517E-03   0.202327E+04
   0.525931E-03   0.206228E+04
   0.536556E-03   0.210203E+04
   0.547395E-03   0.214252E+04
   0.558453E-03   0.218377E+04
   0.569734E-03   0.222581E+04
   0.581244E-03   0.226862E+04
   0.592986E-03   0.231225E+04
   0.604965E-03   0.235668E+04
   0.617186E-03   0.240195E+04
   0.629654E-03   0.244806E+04
   0.642374E-03   0.249503E+04
   0.655350E-03   0.254287E+04
   0.668589E-03   0.259160E+04
   0.682096E-03   0.264124E+04
   0.695875E-03   0.269179E+04
   0.709933E-03   0.274328E+04
   0.724274E-03   0.279571E+04
   0.738906E-03   0.284911E+04
   0.753832E-03   0.290350E+04
   0.769061E-03   0.295888E+04
   0.784597E-03   0.301527E+04
   0.800447E-03   0.307269E+04
   0.816617E-03   0.313116E+04
   0.833114E-03   0.319070E+04
   0.849944E-03   0.325131E+04
   0.867114E-03   0.331303E+04
   0.884631E-03   0.337585E+04
   0.902501E-03   0.343981E+04
   0.920733E-03   0.350492E+04
   0.939333E-03   0.357120E+04
   0.958309E-03   0.363867E+04
   0.977668E-03   0.370733E+04
   0.997418E-03   0.377722E+04
   0.101757E-02   0.384835E+04
   0.103812E-02   0.392074E+04
   0.105910E-02   0.399440E+04
   0.108049E-02   0.406936E+04
   0.110232E-02   0.414563E+04
   0.112459E-02   0.422323E+04
   0.114730E-02   0.430219E+04
   0.117048E-02   0.438251E+04
   0.119413E-02   0.446422E+04
   0.121825E-02   0.454734E+04
   0.124286E-02   0.463188E+04
   0.126797E-02   0.471787E+04
   0.129358E-02   0.480532E+04
   0.131971E-02   0.489425E+04
   0.134637E-02   0.498468E+04
   0.137357E-02   0.507662E+04
   0.140132E-02   0.517011E+04
   0.142963E-02   0.526515E+04
   0.145851E-02   0.536176E+04
   0.148797E-02   0.545996E+04
   0.151803E-02   0.555977E+04
   0.154870E-02   0.566121E+04
   0.157998E-02   0.576429E+04
   0.161190E-02   0.586903E+04
   0.164446E-02   0.597544E+04
   0.167768E-02   0.608355E+04
   0.171158E-02   0.619338E+04
   0.174615E-02   0.630492E+04
   0.178143E-02   0.641821E+04
   0.181741E-02   0.653325E+04
   0.185413E-02   0.665007E+04
   0.189158E-02   0.676867E+04
   0.192980E-02   0.688907E+04
   0.196878E-02   0.701128E+04
   0.200855E-02   0.713531E+04
   0.204913E-02   0.726119E+04
   0.209052E-02   0.738891E+04
   0.213276E-02   0.751849E+04
   0.217584E-02   0.764994E+04
   0.221979E-02   0.778326E+04
   0.226464E-02   0.791848E+04
   0.231039E-02   0.805559E+04
   0.235706E-02   0.819460E+04
   0.240467E-02   0.833553E+04
   0.245325E-02   0.847836E+04
   0.250281E-02   0.862312E+04
   0.255337E-02   0.876979E+04
   0.260495E-02   0.891839E+04
   0.265758E-02   0.906891E+04
   0.271126E-02   0.922136E+04
   0.276603E-02   0.937573E+04
   0.282191E-02   0.953203E+04
   0.287892E-02   0.969024E+04
   0.293708E-02   0.985037E+04
   0.299641E-02   0.100124E+05
   0.305694E-02   0.101763E+05
   0.311870E-02   0.103421E+05
   0.318170E-02   0.105098E+05
   0.324597E-02   0.106794E+05
   0.331155E-02   0.108508E+05
   0.337844E-02   0.110241E+05
   0.344669E-02   0.111992E+05
   0.351632E-02   0.113760E+05
   0.358735E-02   0.115547E+05
   0.365982E-02   0.117351E+05
   0.373376E-02   0.119172E+05
   0.380918E-02   0.121011E+05
   0.388613E-02   0.122866E+05
   0.396464E-02   0.124737E+05
   0.404473E-02   0.126625E+05
   0.412644E-02   0.128528E+05
   0.420980E-02   0.130446E+05
   0.429484E-02   0.132379E+05
   0.438160E-02   0.134327E+05
   0.447012E-02   0.136289E+05
   0.456042E-02   0.138264E+05
   0.465255E-02   0.140252E+05
   0.474653E-02   0.142252E+05
   0.484242E-02   0.144264E+05
   0.494024E-02   0.146287E+05
   0.504004E-02   0.148321E+05
   0.514186E-02   0.150364E+05
   0.524573E-02   0.152417E+05
   0.535170E-02   0.154478E+05
   0.545981E-02   0.156546E+05
   0.557011E-02   0.158621E+05
   0.568263E-02   0.160702E+05
   0.579743E-02   0.162788E+05
   0.591455E-02   0.164878E+05
   0.603403E-02   0.166971E+05
   0.615592E-02   0.169066E+05
   0.628028E-02   0.171163E+05
   0.640715E-02   0.173258E+05
   0.653658E-02   0.175353E+05
   0.666863E-02   0.177445E+05
   0.680335E-02   0.179534E+05
   0.694078E-02   0.181618E+05
   0.708100E-02   0.183695E+05
   0.722404E-02   0.185765E+05
   0.736998E-02   0.187826E+05
   0.751886E-02   0.189877E+05
   0.767075E-02   0.191915E+05
   0.782571E-02   0.193940E+05
   0.798380E-02   0.195950E+05
   0.814509E-02   0.197944E+05
   0.830963E-02   0.199919E+05
   0.847750E-02   0.201874E+05
   0.864875E-02   0.203807E+05
   0.882347E-02   0.205716E+05
   0.900171E-02   0.207600E+05
   0.918356E-02   0.209456E+05
   0.936908E-02   0.211283E+05
   0.955835E-02   0.213078E+05
   0.975144E-02   0.214839E+05
   0.994843E-02   0.216565E+05
   0.101494E-01   0.218253E+05
   0.103544E-01   0.219901E+05
   0.105636E-01   0.221506E+05
   0.107770E-01   0.223067E+05
   0.109947E-01   0.224581E+05
   0.112168E-01   0.226045E+05
   0.114434E-01   0.227457E+05
   0.116746E-01   0.228815E+05
   0.119104E-01   0.230116E+05
   0.121510E-01   0.231358E+05
   0.123965E-01   0.232538E+05
   0.126469E-01   0.233654E+05
   0.129024E-01   0.234702E+05
   0.131631E-01   0.235681E+05
   0.134290E-01   0.236588E+05
   0.137003E-01   0.237419E+05
   0.139770E-01   0.238174E+05
   0.142594E-01   0.238848E+05
   0.145474E-01   0.239439E+05
   0.148413E-01   0.239945E+05
   0.151411E-01   0.240363E+05
   0.154470E-01   0.240692E+05
   0.157590E-01   0.240927E+05
   0.160774E-01   0.241067E+05
   0.164022E-01   0.241110E+05
   0.167335E-01   0.241053E+05
   0.170716E-01   0.240894E+05
   0.174164E-01   0.240632E+05
   0.177683E-01   0.240264E+05
   0.181272E-01   0.239789E+05
   0.184934E-01   0.239205E+05
   0.188670E-01   0.238510E+05
   0.192481E-01   0.237704E+05
   0.196370E-01   0.236785E+05
   0.200337E-01   0.235753E+05
   0.204384E-01   0.234607E+05
   0.208513E-01   0.233346E+05
   0.212725E-01   0.231971E+05
   0.217022E-01   0.230482E+05
   0.221406E-01   0.228880E+05
   0.225879E-01   0.227165E+05
   0.230442E-01   0.225339E+05
   0.235097E-01   0.223403E+05
   0.239847E-01   0.221359E+05
   0.244692E-01   0.219210E+05
   0.249635E-01   0.216958E+05
   0.254678E-01   0.214606E+05
   0.259823E-01   0.212159E+05
   0.265072E-01   0.209620E+05
   0.270426E-01   0.206993E+05
   0.275889E-01   0.204284E+05
   0.281463E-01   0.201497E+05
   0.287149E-01   0.198639E+05
   0.292949E-01   0.195715E+05
   0.298867E-01   0.192732E+05
   0.304905E-01   0.189698E+05
   0.311064E-01   0.186618E+05
   0.317348E-01   0.183501E+05
   0.323759E-01   0.180354E+05
   0.330299E-01   0.177186E+05
   0.336972E-01   0.174005E+05
   0.343779E-01   0.170819E+05
   0.350724E-01   0.167637E+05
   0.357809E-01   0.164467E+05
   0.365038E-01   0.161318E+05
   0.372412E-01   0.158199E+05
   0.379935E-01   0.155118E+05
   0.387610E-01   0.152082E+05
   0.395440E-01   0.149101E+05
   0.403429E-01   0.146181E+05
   0.411579E-01   0.143330E+05
   0.419893E-01   0.140553E+05
   0.428375E-01   0.137858E+05
   0.437029E-01   0.135248E+05
   0.445858E-01   0.132730E+05
   0.454865E-01   0.130305E+05
   0.464053E-01   0.127978E+05
   0.473428E-01   0.125748E+05
   0.482992E-01   0.123619E+05
   0.492749E-01   0.121588E+05
   0.502703E-01   0.119653E+05
   0.512858E-01   0.117813E+05
   0.523219E-01   0.116062E+05
   0.533789E-01   0.114395E+05
   0.544572E-01   0.112805E+05
   0.555573E-01   0.111283E+05
   0.566796E-01   0.109821E+05
   0.578246E-01   0.108407E+05
   0.589927E-01   0.107028E+05
   0.601845E-01   0.105673E+05
   0.614003E-01   0.104327E+05
   0.626407E-01   0.102976E+05
   0.639061E-01   0.101605E+05
   0.651971E-01   0.100200E+05
   0.665142E-01   0.987460E+04
   0.678578E-01   0.972298E+04
   0.692287E-01   0.956393E+04
   0.706272E-01   0.939641E+04
   0.720539E-01   0.921967E+04
   0.735095E-01   0.903312E+04
   0.749945E-01   0.883650E+04
   0.765095E-01   0.862996E+04
   0.780551E-01   0.841399E+04
   0.796319E-01   0.818957E+04
   0.812406E-01   0.795777E+04
   0.828817E-01   0.772019E+04
   0.845561E-01   0.747875E+04
   0.862642E-01   0.723579E+04
   0.880068E-01   0.699358E+04
   0.897847E-01   0.675452E+04
   0.915985E-01   0.652114E+04
   0.934489E-01   0.629589E+04
   0.953367E-01   0.608108E+04
   0.972626E-01   0.587872E+04
   0.992274E-01   0.569047E+04
   0.101232E+00   0.551761E+04
   0.103277E+00   0.536054E+04
   0.105363E+00   0.521974E+04
   0.107492E+00   0.509506E+04
   0.109663E+00   0.498562E+04
   0.111879E+00   0.488974E+04
   0.114139E+00   0.480496E+04
   0.116445E+00   0.472933E+04
   0.118797E+00   0.465995E+04
   0.121197E+00   0.459364E+04
   0.123645E+00   0.452704E+04
   0.126143E+00   0.445691E+04
   0.128691E+00   0.438030E+04
   0.131291E+00   0.429488E+04
   0.133943E+00   0.419926E+04
   0.136649E+00   0.409370E+04
   0.139409E+00   0.397751E+04
   0.142226E+00   0.385201E+04
   0.145099E+00   0.371963E+04
   0.148030E+00   0.358425E+04
   0.151020E+00   0.344939E+04
   0.154071E+00   0.331823E+04
   0.157184E+00   0.319430E+04
   0.160359E+00   0.308055E+04
   0.163598E+00   0.297776E+04
   0.166903E+00   0.288866E+04
   0.170275E+00   0.281332E+04
   0.173715E+00   0.275054E+04
   0.177224E+00   0.269694E+04
   0.180804E+00   0.264929E+04
   0.184457E+00   0.260481E+04
   0.188183E+00   0.255969E+04
   0.191985E+00   0.251069E+04
   0.195863E+00   0.245718E+04
   0.199820E+00   0.239561E+04
   0.203856E+00   0.232574E+04
   0.207974E+00   0.224931E+04
   0.212176E+00   0.217004E+04
   0.216462E+00   0.209174E+04
   0.220835E+00   0.201727E+04
   0.225296E+00   0.194975E+04
   0.229847E+00   0.189105E+04
   0.234490E+00   0.183843E+04
   0.239227E+00   0.179407E+04
   0.244060E+00   0.175631E+04
   0.248990E+00   0.172201E+04
   0.254020E+00   0.168844E+04
   0.259152E+00   0.165301E+04
   0.264387E+00   0.161284E+04
   0.269728E+00   0.156761E+04
   0.275177E+00   0.151854E+04
   0.280736E+00   0.146961E+04
   0.286407E+00   0.142304E+04
   0.292193E+00   0.138117E+04
   0.298096E+00   0.134521E+04
   0.304118E+00   0.131412E+04
   0.310261E+00   0.128539E+04
   0.316529E+00   0.125836E+04
   0.322923E+00   0.123075E+04
   0.329447E+00   0.120103E+04
   0.336102E+00   0.117076E+04
   0.342892E+00   0.113956E+04
   0.349819E+00   0.110864E+04
   0.356885E+00   0.107978E+04
   0.364095E+00   0.105364E+04
   0.371450E+00   0.102945E+04
   0.378954E+00   0.100742E+04
   0.386609E+00   0.986097E+03
   0.394419E+00   0.964205E+03
   0.402387E+00   0.942079E+03
   0.410516E+00   0.919727E+03
   0.418809E+00   0.897908E+03
   0.427269E+00   0.877604E+03
   0.435901E+00   0.859065E+03
   0.444706E+00   0.841471E+03
   0.453690E+00   0.824456E+03
   0.462855E+00   0.807277E+03
   0.472206E+00   0.789734E+03
   0.481745E+00   0.772437E+03
   0.491477E+00   0.755942E+03
   0.501405E+00   0.740538E+03
   0.511534E+00   0.726120E+03
   0.521868E+00   0.712219E+03
   0.532411E+00   0.698389E+03
   0.543166E+00   0.684596E+03
   0.554139E+00   0.671065E+03
   0.565333E+00   0.658066E+03
   0.576753E+00   0.645631E+03
   0.588404E+00   0.633584E+03
   0.600291E+00   0.621728E+03
   0.612418E+00   0.610025E+03
   0.624789E+00   0.598588E+03
   0.637411E+00   0.587533E+03
   0.650288E+00   0.576824E+03
   0.663424E+00   0.566360E+03
   0.676826E+00   0.556078E+03
   0.690499E+00   0.545998E+03
   0.704448E+00   0.536164E+03
   0.718679E+00   0.526568E+03
   0.733197E+00   0.517166E+03
   0.748009E+00   0.507928E+03
   0.763119E+00   0.498860E+03
   0.778536E+00   0.489968E+03
   0.794263E+00   0.481240E+03
   0.810308E+00   0.472654E+03
   0.826677E+00   0.464205E+03
   0.843378E+00   0.455893E+03
   0.860415E+00   0.447712E+03
   0.877797E+00   0.439649E+03
   0.895529E+00   0.431698E+03
   0.913620E+00   0.423856E+03
   0.932076E+00   0.416120E+03
   0.950906E+00   0.408481E+03
   0.970115E+00   0.400936E+03
   0.989713E+00   0.393481E+03
   0.100971E+01   0.386113E+03
   0.103010E+01   0.378825E+03
   0.105091E+01   0.371615E+03
   0.107214E+01   0.364482E+03
   0.109380E+01   0.357422E+03
   0.111590E+01   0.350434E+03
   0.113844E+01   0.343516E+03
   0.116144E+01   0.336666E+03
   0.118490E+01   0.329884E+03
   0.120884E+01   0.323168E+03
   0.123326E+01   0.316517E+03
   0.125817E+01   0.309931E+03
   0.128359E+01   0.303408E+03
   0.130952E+01   0.296950E+03
   0.133597E+01   0.290556E+03
   0.136296E+01   0.284227E+03
   0.139049E+01   0.277964E+03
   0.141858E+01   0.271767E+03
   0.144724E+01   0.265637E+03
   0.147648E+01   0.259575E+03
   0.150630E+01   0.253581E+03
   0.153673E+01   0.247656E+03
   0.156778E+01   0.241802E+03
   0.159945E+01   0.236019E+03
   0.163176E+01   0.230310E+03
   0.166472E+01   0.224676E+03
   0.169835E+01   0.219118E+03
   0.173266E+01   0.213637E+03
   0.176766E+01   0.208233E+03
   0.180337E+01   0.202909E+03
   0.183980E+01   0.197664E+03
   0.187697E+01   0.192502E+03
   0.191489E+01   0.187422E+03
   0.195357E+01   0.182426E+03
   0.199304E+01   0.177515E+03
   0.203330E+01   0.172688E+03
   0.207437E+01   0.167947E+03
   0.211628E+01   0.163293E+03
   0.215903E+01   0.158726E+03
   0.220265E+01   0.154247E+03
   0.224714E+01   0.149855E+03
   0.229254E+01   0.145551E+03
   0.233885E+01   0.141336E+03
   0.238610E+01   0.137208E+03
   0.243430E+01   0.133168E+03
   0.248348E+01   0.129217E+03
   0.253365E+01   0.125352E+03
   0.258483E+01   0.121574E+03
   0.263705E+01   0.117884E+03
   0.269032E+01   0.114279E+03
   0.274466E+01   0.110759E+03
   0.280011E+01   0.107324E+03
   0.285668E+01   0.103973E+03
   0.291439E+01   0.100705E+03
   0.297326E+01   0.975189E+02
   0.303332E+01   0.944139E+02
   0.309460E+01   0.913890E+02
   0.315712E+01   0.884430E+02
   0.322090E+01   0.855750E+02
   0.328596E+01   0.827837E+02
   0.335234E+01   0.800679E+02
   0.342006E+01   0.774266E+02
   0.348916E+01   0.748583E+02
   0.355964E+01   0.723619E+02
   0.363155E+01   0.699360E+02
   0.370491E+01   0.675794E+02
   0.377976E+01   0.652908E+02
   0.385611E+01   0.630689E+02
   0.393401E+01   0.609122E+02
   0.401348E+01   0.588195E+02
   0.409456E+01   0.567895E+02
   0.417727E+01   0.548207E+02
   0.426166E+01   0.529118E+02
   0.434775E+01   0.510615E+02
   0.443558E+01   0.492684E+02
   0.452519E+01   0.475312E+02
   0.461660E+01   0.458484E+02
   0.470987E+01   0.442189E+02
   0.480501E+01   0.426411E+02
   0.490208E+01   0.411139E+02
   0.500111E+01   0.396359E+02
   0.510214E+01   0.382058E+02
   0.520521E+01   0.368224E+02
   0.531036E+01   0.354842E+02
   0.541763E+01   0.341902E+02
   0.552708E+01   0.329390E+02
   0.563873E+01   0.317294E+02
   0.575264E+01   0.305603E+02
   0.586885E+01   0.294304E+02
   0.598741E+01   0.283387E+02
   0.610836E+01   0.272839E+02
   0.623176E+01   0.262651E+02
   0.635765E+01   0.252811E+02
   0.648609E+01   0.243309E+02
   0.661711E+01   0.234135E+02
   0.675079E+01   0.225279E+02
   0.688716E+01   0.216731E+02
   0.702629E+01   0.208482E+02
   0.716823E+01   0.200523E+02
   0.731304E+01   0.192845E+02
   0.746077E+01   0.185439E+02
   0.761149E+01   0.178298E+02
   0.776525E+01   0.171411E+02
   0.792212E+01   0.164772E+02
   0.808217E+01   0.158373E+02
   0.824543E+01   0.152205E+02
   0.841200E+01   0.146262E+02
   0.858193E+01   0.140536E+02
   0.875530E+01   0.135019E+02
   0.893217E+01   0.129706E+02
   0.911261E+01   0.124588E+02
   0.929670E+01   0.119660E+02
   0.948451E+01   0.114914E+02
   0.967610E+01   0.110346E+02
   0.987158E+01   0.105949E+02
   0.100710E+02   0.101716E+02
   0.102744E+02   0.976429E+01
   0.104820E+02   0.937235E+01
   0.106938E+02   0.899527E+01
   0.109098E+02   0.863250E+01
   0.111302E+02   0.828355E+01
   0.113550E+02   0.794795E+01
   0.115844E+02   0.762519E+01
   0.118184E+02   0.731483E+01
   0.120572E+02   0.701642E+01
   0.123007E+02   0.672954E+01
   0.125492E+02   0.645374E+01
   0.128027E+02   0.618865E+01
   0.130614E+02   0.593389E+01
   0.133252E+02   0.568908E+01
   0.135944E+02   0.545384E+01
   0.138691E+02   0.522786E+01
   0.141492E+02   0.501078E+01
   0.144351E+02   0.480227E+01
   0.147267E+02   0.460201E+01
   0.150242E+02   0.440973E+01
   0.153277E+02   0.422509E+01
   0.156373E+02   0.404781E+01
   0.159532E+02   0.387764E+01
   0.162755E+02   0.371431E+01
   0.166043E+02   0.355754E+01
   0.169397E+02   0.340709E+01
   0.172819E+02   0.326275E+01
   0.176310E+02   0.312426E+01
   0.179872E+02   0.299138E+01
   0.183505E+02   0.286393E+01
   0.187212E+02   0.274170E+01
   0.190994E+02   0.262445E+01
   0.194853E+02   0.251199E+01
   0.198789E+02   0.240418E+01
   0.202805E+02   0.230082E+01
   0.206902E+02   0.220171E+01
   0.211081E+02   0.210669E+01
   0.215346E+02   0.201564E+01
   0.219696E+02   0.192837E+01
   0.224134E+02   0.184471E+01
   0.228662E+02   0.176456E+01
   0.233281E+02   0.168778E+01
   0.237994E+02   0.161419E+01
   0.242802E+02   0.154369E+01
   0.247707E+02   0.147617E+01
   0.252710E+02   0.141152E+01
   0.257816E+02   0.134956E+01
   0.263024E+02   0.129023E+01
   0.268337E+02   0.123345E+01
   0.273758E+02   0.117908E+01
   0.279288E+02   0.112699E+01
   0.284930E+02   0.107714E+01
   0.290686E+02   0.102945E+01
   0.296558E+02   0.983781E+00
   0.302549E+02   0.940040E+00
   0.308661E+02   0.898225E+00
   0.314897E+02   0.858229E+00
   0.321258E+02   0.819903E+00
   0.327748E+02   0.783236E+00
   0.334369E+02   0.748218E+00
   0.341123E+02   0.714695E+00
   0.348014E+02   0.682573E+00
   0.355045E+02   0.651900E+00
   0.362217E+02   0.622601E+00
   0.369535E+02   0.594515E+00
   0.377000E+02   0.567650E+00
   0.384616E+02   0.542034E+00
   0.392386E+02   0.517523E+00
   0.400312E+02   0.494022E+00
   0.408399E+02   0.471612E+00
   0.416649E+02   0.450234E+00
   0.425066E+02   0.429725E+00
   0.433653E+02   0.410116E+00
   0.442413E+02   0.391456E+00
   0.451350E+02   0.373597E+00
   0.460469E+02   0.356461E+00
   0.469770E+02   0.340156E+00
   0.479261E+02   0.324614E+00
   0.488942E+02   0.309684E+00
   0.498820E+02   0.295424E+00
   0.508896E+02   0.281886E+00
   0.519177E+02   0.268913E+00
   0.529665E+02   0.256459E+00
   0.540365E+02   0.244644E+00
   0.551281E+02   0.233382E+00
   0.562417E+02   0.222543E+00
   0.573779E+02   0.212214E+00
   0.585370E+02   0.202429E+00
   0.597195E+02   0.193028E+00
   0.609260E+02   0.184009E+00
   0.621568E+02   0.175483E+00
   0.634124E+02   0.167343E+00
   0.646934E+02   0.159526E+00
   0.660003E+02   0.152047E+00
