#    L    TT             EE             BB             TE          
    91   0.242676E+04   0.638438E+00   0.266290E-02  -0.172795E+02
    92   0.245604E+04   0.653993E+00   0.272208E-02  -0.179154E+02
    93   0.248554E+04   0.669519E+00   0.278194E-02  -0.185559E+02
    94   0.251527E+04   0.685005E+00   0.284249E-02  -0.192007E+02
    95   0.254523E+04   0.700434E+00   0.290373E-02  -0.198494E+02
    96   0.257542E+04   0.715793E+00   0.296565E-02  -0.205014E+02
    97   0.260583E+04   0.731066E+00   0.302828E-02  -0.211564E+02
    98   0.263648E+04   0.746240E+00   0.309160E-02  -0.218139E+02
    99   0.266735E+04   0.761298E+00   0.315562E-02  -0.224733E+02
   100   0.269843E+04   0.776231E+00   0.322036E-02  -0.231341E+02
   101   0.272974E+04   0.791022E+00   0.328580E-02  -0.237959E+02
   102   0.276125E+04   0.805650E+00   0.335196E-02  -0.244583E+02
   103   0.279297E+04   0.820116E+00   0.341884E-02  -0.251205E+02
   104   0.282489E+04   0.834388E+00   0.348645E-02  -0.257821E+02
   105   0.285700E+04   0.848461E+00   0.355479E-02  -0.264425E+02
   106   0.288930E+04   0.862319E+00   0.362386E-02  -0.271011E+02
   107   0.292177E+04   0.875956E+00   0.369367E-02  -0.277574E+02
   108   0.295440E+04   0.889348E+00   0.376423E-02  -0.284107E+02
   109   0.298719E+04   0.902489E+00   0.383554E-02  -0.290605E+02
   110   0.302014E+04   0.915356E+00   0.390761E-02  -0.297063E+02
   111   0.305322E+04   0.927943E+00   0.398043E-02  -0.303476E+02
   112   0.308646E+04   0.940242E+00   0.405403E-02  -0.309835E+02
   113   0.311982E+04   0.952230E+00   0.412839E-02  -0.316138E+02
   114   0.315331E+04   0.963893E+00   0.420354E-02  -0.322378E+02
   115   0.318693E+04   0.975231E+00   0.427947E-02  -0.328549E+02
   116   0.322066E+04   0.986229E+00   0.435619E-02  -0.334647E+02
   117   0.325451E+04   0.996864E+00   0.443371E-02  -0.340666E+02
   118   0.328846E+04   0.100714E+01   0.451203E-02  -0.346598E+02
   119   0.332250E+04   0.101703E+01   0.459116E-02  -0.352441E+02
   120   0.335664E+04   0.102654E+01   0.467110E-02  -0.358189E+02
   121   0.339086E+04   0.103566E+01   0.475186E-02  -0.363834E+02
   122   0.342514E+04   0.104436E+01   0.483345E-02  -0.369373E+02
   123   0.345950E+04   0.105265E+01   0.491588E-02  -0.374801E+02
   124   0.349392E+04   0.106051E+01   0.499914E-02  -0.380110E+02
   125   0.352838E+04   0.106794E+01   0.508326E-02  -0.385297E+02
