#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.541691E-05   0.197876E+08   0.197876E+08   0.263798E+08   0.263798E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.266927E+01
   0.555398E-05   0.197876E+08   0.197876E+08   0.263796E+08   0.263796E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.273680E+01
   0.569451E-05   0.197876E+08   0.197876E+08   0.263794E+08   0.263794E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.280605E+01
   0.583861E-05   0.197876E+08   0.197876E+08   0.263792E+08   0.263791E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.287705E+01
   0.598634E-05   0.197876E+08   0.197876E+08   0.263790E+08   0.263789E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.294984E+01
   0.613782E-05   0.197876E+08   0.197876E+08   0.263788E+08   0.263787E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.302447E+01
   0.629313E-05   0.197876E+08   0.197876E+08   0.263785E+08   0.263784E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.310099E+01
   0.645237E-05   0.197876E+08   0.197876E+08   0.263783E+08   0.263782E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.317945E+01
   0.661563E-05   0.197876E+08   0.197876E+08   0.263780E+08   0.263779E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.325989E+01
   0.678303E-05   0.197876E+08   0.197876E+08   0.263777E+08   0.263776E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.334237E+01
   0.695467E-05   0.197876E+08   0.197876E+08   0.263774E+08   0.263773E+08   0.197882E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473120E+00   0.104471E+08   0.104471E+08   0.342693E+01
