#    L    TT             EE             TE             PP             TP          
    75   0.198713E+04   0.395089E+00  -0.807225E+01   0.537122E+07   0.852198E+04
    76   0.201285E+04   0.409272E+00  -0.858038E+01   0.534209E+07   0.839951E+04
    77   0.203867E+04   0.423625E+00  -0.909792E+01   0.531290E+07   0.827990E+04
    78   0.206460E+04   0.438137E+00  -0.962485E+01   0.528365E+07   0.816308E+04
    79   0.209073E+04   0.452798E+00  -0.101614E+02   0.525436E+07   0.804900E+04
    80   0.211711E+04   0.467600E+00  -0.107081E+02   0.522504E+07   0.793757E+04
    81   0.214379E+04   0.482532E+00  -0.112650E+02   0.519572E+07   0.782873E+04
    82   0.217078E+04   0.497582E+00  -0.118316E+02   0.516640E+07   0.772241E+04
    83   0.219804E+04   0.512737E+00  -0.124075E+02   0.513709E+07   0.761851E+04
    84   0.222557E+04   0.527983E+00  -0.129921E+02   0.510780E+07   0.751698E+04
    85   0.225335E+04   0.543307E+00  -0.135850E+02   0.507854E+07   0.741774E+04
    86   0.228136E+04   0.558698E+00  -0.141854E+02   0.504932E+07   0.732071E+04
    87   0.230958E+04   0.574142E+00  -0.147930E+02   0.502015E+07   0.722580E+04
    88   0.233800E+04   0.589628E+00  -0.154071E+02   0.499105E+07   0.713295E+04
    89   0.236661E+04   0.605144E+00  -0.160275E+02   0.496201E+07   0.704205E+04
    90   0.239543E+04   0.620674E+00  -0.166537E+02   0.493306E+07   0.695303E+04
    91   0.242446E+04   0.636205E+00  -0.172852E+02   0.490420E+07   0.686582E+04
    92   0.245371E+04   0.651722E+00  -0.179220E+02   0.487543E+07   0.678036E+04
    93   0.248320E+04   0.667211E+00  -0.185633E+02   0.484676E+07   0.669663E+04
    94   0.251290E+04   0.682659E+00  -0.192091E+02   0.481819E+07   0.661457E+04
    95   0.254285E+04   0.698051E+00  -0.198587E+02   0.478973E+07   0.653416E+04
    96   0.257302E+04   0.713371E+00  -0.205118E+02   0.476138E+07   0.645536E+04
    97   0.260342E+04   0.728607E+00  -0.211679E+02   0.473314E+07   0.637812E+04
    98   0.263405E+04   0.743742E+00  -0.218265E+02   0.470502E+07   0.630241E+04
    99   0.266490E+04   0.758762E+00  -0.224871E+02   0.467702E+07   0.622819E+04
   100   0.269598E+04   0.773656E+00  -0.231492E+02   0.464914E+07   0.615542E+04
   101   0.272727E+04   0.788409E+00  -0.238123E+02   0.462140E+07   0.608408E+04
   102   0.275878E+04   0.802997E+00  -0.244760E+02   0.459379E+07   0.601410E+04
   103   0.279049E+04   0.817423E+00  -0.251396E+02   0.456631E+07   0.594547E+04
   104   0.282240E+04   0.831656E+00  -0.258027E+02   0.453897E+07   0.587814E+04
   105   0.285451E+04   0.845688E+00  -0.264646E+02   0.451178E+07   0.581207E+04
   106   0.288680E+04   0.859505E+00  -0.271247E+02   0.448474E+07   0.574722E+04
   107   0.291926E+04   0.873099E+00  -0.277826E+02   0.445785E+07   0.568356E+04
   108   0.295189E+04   0.886449E+00  -0.284377E+02   0.443111E+07   0.562105E+04
   109   0.298468E+04   0.899548E+00  -0.290892E+02   0.440454E+07   0.555966E+04
   110   0.301763E+04   0.912372E+00  -0.297367E+02   0.437812E+07   0.549933E+04
   111   0.305072E+04   0.924914E+00  -0.303798E+02   0.435188E+07   0.544004E+04
   112   0.308396E+04   0.937167E+00  -0.310177E+02   0.432580E+07   0.538177E+04
   113   0.311733E+04   0.949110E+00  -0.316499E+02   0.429988E+07   0.532449E+04
   114   0.315084E+04   0.960726E+00  -0.322759E+02   0.427414E+07   0.526818E+04
   115   0.318446E+04   0.972015E+00  -0.328951E+02   0.424857E+07   0.521283E+04
   116   0.321821E+04   0.982964E+00  -0.335070E+02   0.422316E+07   0.515840E+04
   117   0.325207E+04   0.993548E+00  -0.341110E+02   0.419792E+07   0.510490E+04
   118   0.328603E+04   0.100377E+01  -0.347065E+02   0.417285E+07   0.505228E+04
   119   0.332009E+04   0.101361E+01  -0.352930E+02   0.414795E+07   0.500054E+04
   120   0.335425E+04   0.102307E+01  -0.358701E+02   0.412322E+07   0.494965E+04
   121   0.338849E+04   0.103212E+01  -0.364370E+02   0.409867E+07   0.489959E+04
   122   0.342280E+04   0.104077E+01  -0.369933E+02   0.407428E+07   0.485034E+04
   123   0.345718E+04   0.104900E+01  -0.375385E+02   0.405006E+07   0.480188E+04
   124   0.349163E+04   0.105680E+01  -0.380720E+02   0.402601E+07   0.475419E+04
   125   0.352612E+04   0.106417E+01  -0.385932E+02   0.400214E+07   0.470725E+04
   126   0.356066E+04   0.107110E+01  -0.391017E+02   0.397843E+07   0.466105E+04
   127   0.359524E+04   0.107757E+01  -0.395970E+02   0.395490E+07   0.461555E+04
   128   0.362985E+04   0.108359E+01  -0.400784E+02   0.393154E+07   0.457074E+04
   129   0.366448E+04   0.108915E+01  -0.405456E+02   0.390836E+07   0.452660E+04
   130   0.369912E+04   0.109423E+01  -0.409979E+02   0.388534E+07   0.448311E+04
   131   0.373376E+04   0.109883E+01  -0.414350E+02   0.386250E+07   0.444025E+04
   132   0.376841E+04   0.110296E+01  -0.418562E+02   0.383983E+07   0.439800E+04
   133   0.380303E+04   0.110660E+01  -0.422611E+02   0.381734E+07   0.435637E+04
   134   0.383765E+04   0.110976E+01  -0.426491E+02   0.379501E+07   0.431532E+04
   135   0.387223E+04   0.111242E+01  -0.430200E+02   0.377285E+07   0.427486E+04
   136   0.390678E+04   0.111460E+01  -0.433731E+02   0.375087E+07   0.423497E+04
   137   0.394129E+04   0.111627E+01  -0.437079E+02   0.372905E+07   0.419565E+04
   138   0.397575E+04   0.111746E+01  -0.440241E+02   0.370740E+07   0.415687E+04
   139   0.401014E+04   0.111815E+01  -0.443212E+02   0.368592E+07   0.411863E+04
   140   0.404447E+04   0.111833E+01  -0.445988E+02   0.366460E+07   0.408091E+04
   141   0.407872E+04   0.111804E+01  -0.448564E+02   0.364345E+07   0.404371E+04
   142   0.411289E+04   0.111725E+01  -0.450937E+02   0.362246E+07   0.400702E+04
   143   0.414697E+04   0.111597E+01  -0.453103E+02   0.360164E+07   0.397082E+04
   144   0.418094E+04   0.111420E+01  -0.455057E+02   0.358098E+07   0.393510E+04
   145   0.421481E+04   0.111195E+01  -0.456795E+02   0.356048E+07   0.389985E+04
   146   0.424854E+04   0.110922E+01  -0.458313E+02   0.354015E+07   0.386506E+04
   147   0.428212E+04   0.110602E+01  -0.459607E+02   0.351998E+07   0.383072E+04
   148   0.431555E+04   0.110235E+01  -0.460673E+02   0.349996E+07   0.379682E+04
   149   0.434880E+04   0.109823E+01  -0.461507E+02   0.348011E+07   0.376334E+04
   150   0.438187E+04   0.109365E+01  -0.462105E+02   0.346041E+07   0.373027E+04
   151   0.441473E+04   0.108862E+01  -0.462463E+02   0.344087E+07   0.369761E+04
   152   0.444739E+04   0.108316E+01  -0.462578E+02   0.342149E+07   0.366534E+04
   153   0.447983E+04   0.107727E+01  -0.462448E+02   0.340227E+07   0.363346E+04
   154   0.451205E+04   0.107098E+01  -0.462071E+02   0.338320E+07   0.360197E+04
   155   0.454405E+04   0.106428E+01  -0.461443E+02   0.336428E+07   0.357086E+04
   156   0.457583E+04   0.105719E+01  -0.460563E+02   0.334551E+07   0.354011E+04
   157   0.460737E+04   0.104971E+01  -0.459427E+02   0.332690E+07   0.350974E+04
   158   0.463867E+04   0.104188E+01  -0.458034E+02   0.330844E+07   0.347972E+04
   159   0.466972E+04   0.103369E+01  -0.456381E+02   0.329012E+07   0.345005E+04
   160   0.470052E+04   0.102517E+01  -0.454467E+02   0.327195E+07   0.342073E+04
   161   0.473104E+04   0.101633E+01  -0.452288E+02   0.325393E+07   0.339175E+04
   162   0.476126E+04   0.100718E+01  -0.449845E+02   0.323606E+07   0.336310E+04
   163   0.479120E+04   0.997761E+00  -0.447132E+02   0.321833E+07   0.333478E+04
   164   0.482081E+04   0.988065E+00  -0.444150E+02   0.320074E+07   0.330679E+04
