#    L    TT             EE             TE             PP             TP          
  1147   0.125196E+04   0.118551E+02  -0.328625E+02   0.250568E+06   0.380823E+01
  1148   0.125031E+04   0.118213E+02  -0.318230E+02   0.250214E+06   0.388353E+01
  1149   0.124857E+04   0.117930E+02  -0.307863E+02   0.249860E+06   0.396236E+01
  1150   0.124674E+04   0.117700E+02  -0.297530E+02   0.249507E+06   0.404467E+01
  1151   0.124482E+04   0.117525E+02  -0.287233E+02   0.249155E+06   0.413044E+01
  1152   0.124282E+04   0.117405E+02  -0.276979E+02   0.248804E+06   0.421964E+01
  1153   0.124073E+04   0.117339E+02  -0.266770E+02   0.248454E+06   0.431221E+01
  1154   0.123854E+04   0.117327E+02  -0.256613E+02   0.248104E+06   0.440814E+01
  1155   0.123628E+04   0.117368E+02  -0.246510E+02   0.247755E+06   0.450737E+01
  1156   0.123392E+04   0.117463E+02  -0.236467E+02   0.247407E+06   0.460986E+01
  1157   0.123148E+04   0.117611E+02  -0.226487E+02   0.247060E+06   0.471559E+01
  1158   0.122896E+04   0.117813E+02  -0.216577E+02   0.246714E+06   0.482450E+01
  1159   0.122636E+04   0.118066E+02  -0.206739E+02   0.246368E+06   0.493657E+01
  1160   0.122368E+04   0.118373E+02  -0.196978E+02   0.246023E+06   0.505175E+01
  1161   0.122091E+04   0.118731E+02  -0.187298E+02   0.245679E+06   0.517000E+01
  1162   0.121808E+04   0.119140E+02  -0.177701E+02   0.245336E+06   0.529129E+01
  1163   0.121515E+04   0.119601E+02  -0.168193E+02   0.244993E+06   0.541558E+01
  1164   0.121216E+04   0.120113E+02  -0.158778E+02   0.244651E+06   0.554282E+01
  1165   0.120909E+04   0.120675E+02  -0.149459E+02   0.244310E+06   0.567298E+01
  1166   0.120594E+04   0.121288E+02  -0.140240E+02   0.243970E+06   0.580603E+01
  1167   0.120271E+04   0.121949E+02  -0.131124E+02   0.243631E+06   0.594191E+01
  1168   0.119941E+04   0.122660E+02  -0.122116E+02   0.243292E+06   0.608060E+01
  1169   0.119605E+04   0.123419E+02  -0.113218E+02   0.242954E+06   0.622205E+01
  1170   0.119261E+04   0.124225E+02  -0.104435E+02   0.242617E+06   0.636623E+01
  1171   0.118910E+04   0.125080E+02  -0.957711E+01   0.242281E+06   0.651310E+01
  1172   0.118553E+04   0.125982E+02  -0.872280E+01   0.241945E+06   0.666261E+01
  1173   0.118188E+04   0.126929E+02  -0.788103E+01   0.241610E+06   0.681473E+01
  1174   0.117818E+04   0.127923E+02  -0.705215E+01   0.241276E+06   0.696942E+01
  1175   0.117440E+04   0.128962E+02  -0.623642E+01   0.240943E+06   0.712665E+01
  1176   0.117057E+04   0.130044E+02  -0.543417E+01   0.240610E+06   0.728637E+01
  1177   0.116667E+04   0.131171E+02  -0.464569E+01   0.240278E+06   0.744854E+01
  1178   0.116271E+04   0.132341E+02  -0.387130E+01   0.239947E+06   0.761313E+01
  1179   0.115870E+04   0.133554E+02  -0.311131E+01   0.239616E+06   0.778010E+01
  1180   0.115463E+04   0.134809E+02  -0.236603E+01   0.239287E+06   0.794940E+01
  1181   0.115049E+04   0.136104E+02  -0.163574E+01   0.238958E+06   0.812101E+01
  1182   0.114631E+04   0.137440E+02  -0.920694E+00   0.238630E+06   0.829488E+01
  1183   0.114207E+04   0.138815E+02  -0.221189E+00   0.238302E+06   0.847097E+01
  1184   0.113779E+04   0.140230E+02   0.462511E+00   0.237975E+06   0.864924E+01
  1185   0.113345E+04   0.141682E+02   0.113013E+01   0.237649E+06   0.882966E+01
  1186   0.112906E+04   0.143172E+02   0.178139E+01   0.237324E+06   0.901218E+01
  1187   0.112462E+04   0.144699E+02   0.241604E+01   0.237000E+06   0.919677E+01
  1188   0.112014E+04   0.146261E+02   0.303386E+01   0.236676E+06   0.938339E+01
  1189   0.111561E+04   0.147857E+02   0.363464E+01   0.236353E+06   0.957200E+01
  1190   0.111103E+04   0.149488E+02   0.421819E+01   0.236030E+06   0.976257E+01
  1191   0.110643E+04   0.151152E+02   0.478431E+01   0.235709E+06   0.995504E+01
  1192   0.110178E+04   0.152849E+02   0.533279E+01   0.235388E+06   0.101494E+02
  1193   0.109709E+04   0.154577E+02   0.586344E+01   0.235067E+06   0.103456E+02
  1194   0.109237E+04   0.156335E+02   0.637605E+01   0.234748E+06   0.105436E+02
  1195   0.108761E+04   0.158123E+02   0.687047E+01   0.234429E+06   0.107433E+02
  1196   0.108282E+04   0.159940E+02   0.734656E+01   0.234111E+06   0.109448E+02
  1197   0.107800E+04   0.161785E+02   0.780415E+01   0.233794E+06   0.111479E+02
  1198   0.107315E+04   0.163656E+02   0.824310E+01   0.233477E+06   0.113527E+02
  1199   0.106827E+04   0.165553E+02   0.866320E+01   0.233161E+06   0.115591E+02
  1200   0.106337E+04   0.167476E+02   0.906442E+01   0.232845E+06   0.117670E+02
  1201   0.105844E+04   0.169422E+02   0.944648E+01   0.232531E+06   0.119765E+02
  1202   0.105349E+04   0.171392E+02   0.980945E+01   0.232217E+06   0.121875E+02
  1203   0.104852E+04   0.173383E+02   0.101531E+02   0.231904E+06   0.123999E+02
  1204   0.104354E+04   0.175397E+02   0.104775E+02   0.231591E+06   0.126137E+02
  1205   0.103853E+04   0.177430E+02   0.107823E+02   0.231279E+06   0.128289E+02
  1206   0.103350E+04   0.179483E+02   0.110678E+02   0.230968E+06   0.130454E+02
  1207   0.102846E+04   0.181553E+02   0.113336E+02   0.230657E+06   0.132632E+02
  1208   0.102342E+04   0.183641E+02   0.115799E+02   0.230348E+06   0.134823E+02
  1209   0.101836E+04   0.185745E+02   0.118064E+02   0.230038E+06   0.137026E+02
  1210   0.101330E+04   0.187865E+02   0.120133E+02   0.229730E+06   0.139241E+02
  1211   0.100822E+04   0.189999E+02   0.122005E+02   0.229422E+06   0.141467E+02
  1212   0.100314E+04   0.192146E+02   0.123680E+02   0.229115E+06   0.143704E+02
  1213   0.998060E+03   0.194306E+02   0.125158E+02   0.228809E+06   0.145952E+02
  1214   0.992976E+03   0.196478E+02   0.126438E+02   0.228503E+06   0.148210E+02
  1215   0.987900E+03   0.198659E+02   0.127522E+02   0.228198E+06   0.150478E+02
  1216   0.982817E+03   0.200850E+02   0.128407E+02   0.227893E+06   0.152755E+02
  1217   0.977741E+03   0.203050E+02   0.129096E+02   0.227589E+06   0.155041E+02
  1218   0.972672E+03   0.205256E+02   0.129588E+02   0.227286E+06   0.157336E+02
  1219   0.967611E+03   0.207469E+02   0.129883E+02   0.226984E+06   0.159640E+02
  1220   0.962549E+03   0.209687E+02   0.129982E+02   0.226682E+06   0.161951E+02
  1221   0.957510E+03   0.211908E+02   0.129883E+02   0.226381E+06   0.164270E+02
  1222   0.952471E+03   0.214133E+02   0.129589E+02   0.226080E+06   0.166596E+02
  1223   0.947455E+03   0.216360E+02   0.129101E+02   0.225780E+06   0.168929E+02
  1224   0.942445E+03   0.218588E+02   0.128418E+02   0.225481E+06   0.171268E+02
  1225   0.937458E+03   0.220816E+02   0.127543E+02   0.225183E+06   0.173613E+02
  1226   0.932486E+03   0.223043E+02   0.126476E+02   0.224885E+06   0.175964E+02
  1227   0.927536E+03   0.225269E+02   0.125219E+02   0.224587E+06   0.178320E+02
  1228   0.922609E+03   0.227491E+02   0.123773E+02   0.224291E+06   0.180681E+02
  1229   0.917711E+03   0.229711E+02   0.122140E+02   0.223995E+06   0.183047E+02
  1230   0.912835E+03   0.231925E+02   0.120320E+02   0.223699E+06   0.185416E+02
  1231   0.907982E+03   0.234134E+02   0.118315E+02   0.223405E+06   0.187789E+02
  1232   0.903158E+03   0.236337E+02   0.116127E+02   0.223111E+06   0.190166E+02
  1233   0.898372E+03   0.238531E+02   0.113755E+02   0.222817E+06   0.192545E+02
  1234   0.893608E+03   0.240717E+02   0.111203E+02   0.222524E+06   0.194927E+02
  1235   0.888881E+03   0.242893E+02   0.108470E+02   0.222232E+06   0.197311E+02
  1236   0.884183E+03   0.245058E+02   0.105559E+02   0.221940E+06   0.199697E+02
  1237   0.879523E+03   0.247211E+02   0.102471E+02   0.221650E+06   0.202084E+02
  1238   0.874900E+03   0.249352E+02   0.992083E+01   0.221359E+06   0.204472E+02
  1239   0.870314E+03   0.251479E+02   0.957728E+01   0.221070E+06   0.206861E+02
  1240   0.865766E+03   0.253592E+02   0.921663E+01   0.220780E+06   0.209250E+02
  1241   0.861261E+03   0.255689E+02   0.883912E+01   0.220492E+06   0.211639E+02
  1242   0.856802E+03   0.257770E+02   0.844497E+01   0.220204E+06   0.214027E+02
  1243   0.852379E+03   0.259833E+02   0.803433E+01   0.219917E+06   0.216414E+02
  1244   0.848002E+03   0.261878E+02   0.760734E+01   0.219630E+06   0.218800E+02
  1245   0.843668E+03   0.263903E+02   0.716436E+01   0.219344E+06   0.221184E+02
  1246   0.839387E+03   0.265909E+02   0.670557E+01   0.219059E+06   0.223566E+02
  1247   0.835151E+03   0.267894E+02   0.623119E+01   0.218774E+06   0.225946E+02
  1248   0.830966E+03   0.269856E+02   0.574145E+01   0.218490E+06   0.228323E+02
  1249   0.826826E+03   0.271795E+02   0.523656E+01   0.218206E+06   0.230696E+02
  1250   0.822746E+03   0.273711E+02   0.471678E+01   0.217923E+06   0.233066E+02
  1251   0.818710E+03   0.275602E+02   0.418240E+01   0.217641E+06   0.235432E+02
  1252   0.814726E+03   0.277467E+02   0.363372E+01   0.217359E+06   0.237794E+02
  1253   0.810801E+03   0.279307E+02   0.307106E+01   0.217078E+06   0.240151E+02
  1254   0.806929E+03   0.281120E+02   0.249472E+01   0.216797E+06   0.242503E+02
  1255   0.803116E+03   0.282906E+02   0.190501E+01   0.216517E+06   0.244850E+02
  1256   0.799362E+03   0.284664E+02   0.130224E+01   0.216237E+06   0.247192E+02
  1257   0.795668E+03   0.286393E+02   0.686718E+00   0.215959E+06   0.249528E+02
  1258   0.792034E+03   0.288093E+02   0.587507E-01   0.215680E+06   0.251859E+02
  1259   0.788451E+03   0.289762E+02  -0.581353E+00   0.215403E+06   0.254183E+02
  1260   0.784943E+03   0.291402E+02  -0.123328E+01   0.215125E+06   0.256501E+02
  1261   0.781486E+03   0.293009E+02  -0.189673E+01   0.214849E+06   0.258813E+02
  1262   0.778097E+03   0.294584E+02  -0.257140E+01   0.214573E+06   0.261117E+02
  1263   0.774774E+03   0.296127E+02  -0.325697E+01   0.214297E+06   0.263415E+02
  1264   0.771511E+03   0.297636E+02  -0.395313E+01   0.214023E+06   0.265705E+02
  1265   0.768315E+03   0.299111E+02  -0.465954E+01   0.213748E+06   0.267987E+02
  1266   0.765178E+03   0.300550E+02  -0.537585E+01   0.213475E+06   0.270262E+02
  1267   0.762116E+03   0.301955E+02  -0.610171E+01   0.213202E+06   0.272528E+02
  1268   0.759120E+03   0.303324E+02  -0.683677E+01   0.212929E+06   0.274786E+02
  1269   0.756192E+03   0.304657E+02  -0.758067E+01   0.212657E+06   0.277035E+02
  1270   0.753330E+03   0.305953E+02  -0.833311E+01   0.212386E+06   0.279276E+02
  1271   0.750535E+03   0.307211E+02  -0.909364E+01   0.212115E+06   0.281507E+02
  1272   0.747814E+03   0.308432E+02  -0.986206E+01   0.211845E+06   0.283729E+02
  1273   0.745160E+03   0.309614E+02  -0.106378E+02   0.211575E+06   0.285941E+02
  1274   0.742573E+03   0.310757E+02  -0.114207E+02   0.211306E+06   0.288143E+02
  1275   0.740059E+03   0.311861E+02  -0.122103E+02   0.211037E+06   0.290334E+02
  1276   0.737616E+03   0.312926E+02  -0.130063E+02   0.210769E+06   0.292516E+02
  1277   0.735244E+03   0.313951E+02  -0.138084E+02   0.210502E+06   0.294686E+02
  1278   0.732944E+03   0.314935E+02  -0.146160E+02   0.210235E+06   0.296846E+02
  1279   0.730715E+03   0.315878E+02  -0.154289E+02   0.209968E+06   0.298994E+02
  1280   0.728559E+03   0.316780E+02  -0.162468E+02   0.209702E+06   0.301131E+02
  1281   0.726474E+03   0.317639E+02  -0.170692E+02   0.209437E+06   0.303256E+02
  1282   0.724461E+03   0.318457E+02  -0.178959E+02   0.209172E+06   0.305369E+02
  1283   0.722521E+03   0.319233E+02  -0.187264E+02   0.208908E+06   0.307470E+02
  1284   0.720652E+03   0.319964E+02  -0.195603E+02   0.208644E+06   0.309558E+02
  1285   0.718857E+03   0.320653E+02  -0.203973E+02   0.208381E+06   0.311634E+02
  1286   0.717133E+03   0.321297E+02  -0.212371E+02   0.208119E+06   0.313696E+02
  1287   0.715482E+03   0.321899E+02  -0.220793E+02   0.207857E+06   0.315745E+02
  1288   0.713904E+03   0.322456E+02  -0.229234E+02   0.207595E+06   0.317781E+02
  1289   0.712397E+03   0.322969E+02  -0.237691E+02   0.207334E+06   0.319802E+02
  1290   0.710964E+03   0.323438E+02  -0.246161E+02   0.207074E+06   0.321810E+02
  1291   0.709603E+03   0.323863E+02  -0.254639E+02   0.206814E+06   0.323803E+02
  1292   0.708314E+03   0.324243E+02  -0.263122E+02   0.206554E+06   0.325782E+02
  1293   0.707097E+03   0.324580E+02  -0.271605E+02   0.206296E+06   0.327746E+02
  1294   0.705953E+03   0.324872E+02  -0.280087E+02   0.206037E+06   0.329694E+02
  1295   0.704879E+03   0.325119E+02  -0.288562E+02   0.205779E+06   0.331628E+02
  1296   0.703878E+03   0.325322E+02  -0.297027E+02   0.205522E+06   0.333545E+02
  1297   0.702947E+03   0.325479E+02  -0.305480E+02   0.205265E+06   0.335447E+02
  1298   0.702087E+03   0.325591E+02  -0.313915E+02   0.205009E+06   0.337332E+02
  1299   0.701298E+03   0.325658E+02  -0.322330E+02   0.204753E+06   0.339202E+02
  1300   0.700578E+03   0.325680E+02  -0.330721E+02   0.204498E+06   0.341054E+02
  1301   0.699928E+03   0.325656E+02  -0.339085E+02   0.204243E+06   0.342890E+02
  1302   0.699347E+03   0.325588E+02  -0.347417E+02   0.203989E+06   0.344708E+02
  1303   0.698834E+03   0.325474E+02  -0.355716E+02   0.203735E+06   0.346510E+02
  1304   0.698389E+03   0.325316E+02  -0.363976E+02   0.203482E+06   0.348294E+02
  1305   0.698013E+03   0.325113E+02  -0.372196E+02   0.203230E+06   0.350060E+02
  1306   0.697703E+03   0.324866E+02  -0.380370E+02   0.202977E+06   0.351809E+02
  1307   0.697460E+03   0.324574E+02  -0.388496E+02   0.202726E+06   0.353540E+02
  1308   0.697284E+03   0.324239E+02  -0.396571E+02   0.202475E+06   0.355254E+02
  1309   0.697172E+03   0.323859E+02  -0.404591E+02   0.202224E+06   0.356949E+02
  1310   0.697125E+03   0.323435E+02  -0.412552E+02   0.201974E+06   0.358626E+02
  1311   0.697142E+03   0.322967E+02  -0.420451E+02   0.201724E+06   0.360286E+02
  1312   0.697222E+03   0.322456E+02  -0.428286E+02   0.201475E+06   0.361926E+02
  1313   0.697365E+03   0.321900E+02  -0.436051E+02   0.201226E+06   0.363548E+02
  1314   0.697569E+03   0.321302E+02  -0.443746E+02   0.200978E+06   0.365152E+02
  1315   0.697834E+03   0.320661E+02  -0.451366E+02   0.200730E+06   0.366737E+02
  1316   0.698160E+03   0.319977E+02  -0.458908E+02   0.200483E+06   0.368303E+02
  1317   0.698545E+03   0.319252E+02  -0.466369E+02   0.200236E+06   0.369849E+02
  1318   0.698988E+03   0.318485E+02  -0.473747E+02   0.199990E+06   0.371377E+02
  1319   0.699490E+03   0.317678E+02  -0.481038E+02   0.199745E+06   0.372885E+02
  1320   0.700048E+03   0.316829E+02  -0.488240E+02   0.199499E+06   0.374374E+02
  1321   0.700662E+03   0.315941E+02  -0.495350E+02   0.199255E+06   0.375844E+02
  1322   0.701332E+03   0.315014E+02  -0.502364E+02   0.199010E+06   0.377293E+02
  1323   0.702056E+03   0.314047E+02  -0.509280E+02   0.198767E+06   0.378723E+02
  1324   0.702833E+03   0.313041E+02  -0.516095E+02   0.198523E+06   0.380133E+02
  1325   0.703663E+03   0.311996E+02  -0.522806E+02   0.198280E+06   0.381523E+02
  1326   0.704543E+03   0.310913E+02  -0.529411E+02   0.198038E+06   0.382893E+02
  1327   0.705474E+03   0.309792E+02  -0.535908E+02   0.197796E+06   0.384242E+02
  1328   0.706454E+03   0.308634E+02  -0.542293E+02   0.197555E+06   0.385571E+02
  1329   0.707482E+03   0.307438E+02  -0.548563E+02   0.197314E+06   0.386879E+02
  1330   0.708557E+03   0.306207E+02  -0.554717E+02   0.197073E+06   0.388166E+02
  1331   0.709679E+03   0.304940E+02  -0.560753E+02   0.196833E+06   0.389433E+02
  1332   0.710844E+03   0.303637E+02  -0.566667E+02   0.196594E+06   0.390678E+02
  1333   0.712054E+03   0.302299E+02  -0.572458E+02   0.196355E+06   0.391902E+02
  1334   0.713306E+03   0.300928E+02  -0.578123E+02   0.196116E+06   0.393106E+02
  1335   0.714599E+03   0.299523E+02  -0.583660E+02   0.195878E+06   0.394287E+02
  1336   0.715933E+03   0.298085E+02  -0.589067E+02   0.195641E+06   0.395447E+02
  1337   0.717305E+03   0.296614E+02  -0.594342E+02   0.195403E+06   0.396586E+02
  1338   0.718716E+03   0.295112E+02  -0.599483E+02   0.195167E+06   0.397703E+02
  1339   0.720164E+03   0.293579E+02  -0.604488E+02   0.194930E+06   0.398797E+02
  1340   0.721647E+03   0.292015E+02  -0.609355E+02   0.194695E+06   0.399870E+02
  1341   0.723164E+03   0.290421E+02  -0.614083E+02   0.194459E+06   0.400920E+02
  1342   0.724715E+03   0.288798E+02  -0.618668E+02   0.194224E+06   0.401949E+02
  1343   0.726297E+03   0.287145E+02  -0.623111E+02   0.193990E+06   0.402954E+02
  1344   0.727909E+03   0.285465E+02  -0.627408E+02   0.193756E+06   0.403937E+02
  1345   0.729550E+03   0.283757E+02  -0.631558E+02   0.193522E+06   0.404898E+02
  1346   0.731220E+03   0.282022E+02  -0.635559E+02   0.193289E+06   0.405835E+02
  1347   0.732916E+03   0.280260E+02  -0.639410E+02   0.193057E+06   0.406750E+02
  1348   0.734636E+03   0.278472E+02  -0.643109E+02   0.192824E+06   0.407641E+02
  1349   0.736381E+03   0.276660E+02  -0.646655E+02   0.192593E+06   0.408509E+02
  1350   0.738149E+03   0.274824E+02  -0.650047E+02   0.192361E+06   0.409354E+02
  1351   0.739938E+03   0.272964E+02  -0.653285E+02   0.192130E+06   0.410175E+02
  1352   0.741747E+03   0.271082E+02  -0.656367E+02   0.191900E+06   0.410973E+02
  1353   0.743577E+03   0.269177E+02  -0.659293E+02   0.191670E+06   0.411747E+02
  1354   0.745419E+03   0.267254E+02  -0.662062E+02   0.191440E+06   0.412498E+02
  1355   0.747283E+03   0.265309E+02  -0.664673E+02   0.191211E+06   0.413226E+02
  1356   0.749162E+03   0.263346E+02  -0.667125E+02   0.190983E+06   0.413930E+02
  1357   0.751056E+03   0.261366E+02  -0.669419E+02   0.190754E+06   0.414611E+02
  1358   0.752965E+03   0.259366E+02  -0.671552E+02   0.190527E+06   0.415268E+02
  1359   0.754881E+03   0.257351E+02  -0.673526E+02   0.190299E+06   0.415902E+02
  1360   0.756805E+03   0.255319E+02  -0.675338E+02   0.190072E+06   0.416513E+02
  1361   0.758736E+03   0.253272E+02  -0.676987E+02   0.189846E+06   0.417101E+02
  1362   0.760682E+03   0.251211E+02  -0.678475E+02   0.189620E+06   0.417665E+02
  1363   0.762629E+03   0.249136E+02  -0.679800E+02   0.189394E+06   0.418206E+02
  1364   0.764582E+03   0.247047E+02  -0.680961E+02   0.189169E+06   0.418724E+02
  1365   0.766543E+03   0.244947E+02  -0.681960E+02   0.188944E+06   0.419219E+02
  1366   0.768497E+03   0.242835E+02  -0.682796E+02   0.188720E+06   0.419690E+02
  1367   0.770458E+03   0.240713E+02  -0.683468E+02   0.188496E+06   0.420139E+02
  1368   0.772419E+03   0.238581E+02  -0.683977E+02   0.188272E+06   0.420565E+02
  1369   0.774373E+03   0.236441E+02  -0.684322E+02   0.188049E+06   0.420967E+02
  1370   0.776334E+03   0.234293E+02  -0.684504E+02   0.187826E+06   0.421346E+02
  1371   0.778280E+03   0.232137E+02  -0.684524E+02   0.187604E+06   0.421703E+02
  1372   0.780227E+03   0.229976E+02  -0.684381E+02   0.187382E+06   0.422036E+02
  1373   0.782166E+03   0.227809E+02  -0.684077E+02   0.187161E+06   0.422347E+02
  1374   0.784097E+03   0.225637E+02  -0.683611E+02   0.186940E+06   0.422634E+02
  1375   0.786014E+03   0.223462E+02  -0.682983E+02   0.186719E+06   0.422899E+02
  1376   0.787923E+03   0.221284E+02  -0.682195E+02   0.186499E+06   0.423141E+02
  1377   0.789825E+03   0.219104E+02  -0.681247E+02   0.186279E+06   0.423360E+02
  1378   0.791713E+03   0.216923E+02  -0.680139E+02   0.186060E+06   0.423556E+02
  1379   0.793585E+03   0.214741E+02  -0.678872E+02   0.185841E+06   0.423730E+02
  1380   0.795435E+03   0.212560E+02  -0.677445E+02   0.185622E+06   0.423880E+02
  1381   0.797277E+03   0.210378E+02  -0.675861E+02   0.185404E+06   0.424008E+02
  1382   0.799098E+03   0.208200E+02  -0.674119E+02   0.185186E+06   0.424113E+02
  1383   0.800896E+03   0.206023E+02  -0.672219E+02   0.184969E+06   0.424196E+02
  1384   0.802671E+03   0.203849E+02  -0.670163E+02   0.184752E+06   0.424256E+02
  1385   0.804432E+03   0.201680E+02  -0.667952E+02   0.184536E+06   0.424293E+02
  1386   0.806171E+03   0.199516E+02  -0.665589E+02   0.184319E+06   0.424307E+02
  1387   0.807880E+03   0.197358E+02  -0.663074E+02   0.184104E+06   0.424299E+02
  1388   0.809567E+03   0.195206E+02  -0.660410E+02   0.183888E+06   0.424269E+02
  1389   0.811224E+03   0.193063E+02  -0.657596E+02   0.183673E+06   0.424216E+02
  1390   0.812858E+03   0.190927E+02  -0.654636E+02   0.183459E+06   0.424140E+02
  1391   0.814463E+03   0.188801E+02  -0.651531E+02   0.183245E+06   0.424042E+02
  1392   0.816039E+03   0.186686E+02  -0.648281E+02   0.183031E+06   0.423921E+02
  1393   0.817592E+03   0.184580E+02  -0.644888E+02   0.182818E+06   0.423778E+02
  1394   0.819107E+03   0.182486E+02  -0.641353E+02   0.182605E+06   0.423613E+02
  1395   0.820586E+03   0.180405E+02  -0.637679E+02   0.182392E+06   0.423425E+02
  1396   0.822035E+03   0.178335E+02  -0.633865E+02   0.182180E+06   0.423215E+02
  1397   0.823455E+03   0.176280E+02  -0.629914E+02   0.181968E+06   0.422983E+02
  1398   0.824829E+03   0.174238E+02  -0.625826E+02   0.181757E+06   0.422728E+02
  1399   0.826174E+03   0.172212E+02  -0.621606E+02   0.181546E+06   0.422451E+02
  1400   0.827475E+03   0.170201E+02  -0.617254E+02   0.181335E+06   0.422152E+02
  1401   0.828746E+03   0.168206E+02  -0.612772E+02   0.181125E+06   0.421830E+02
  1402   0.829972E+03   0.166229E+02  -0.608162E+02   0.180915E+06   0.421487E+02
  1403   0.831161E+03   0.164269E+02  -0.603427E+02   0.180706E+06   0.421122E+02
  1404   0.832313E+03   0.162327E+02  -0.598569E+02   0.180497E+06   0.420734E+02
  1405   0.833420E+03   0.160404E+02  -0.593588E+02   0.180288E+06   0.420326E+02
  1406   0.834483E+03   0.158502E+02  -0.588488E+02   0.180080E+06   0.419895E+02
  1407   0.835501E+03   0.156619E+02  -0.583272E+02   0.179872E+06   0.419444E+02
  1408   0.836483E+03   0.154757E+02  -0.577939E+02   0.179664E+06   0.418971E+02
  1409   0.837412E+03   0.152917E+02  -0.572494E+02   0.179457E+06   0.418477E+02
  1410   0.838304E+03   0.151098E+02  -0.566938E+02   0.179250E+06   0.417963E+02
  1411   0.839144E+03   0.149302E+02  -0.561272E+02   0.179044E+06   0.417428E+02
  1412   0.839939E+03   0.147530E+02  -0.555501E+02   0.178838E+06   0.416872E+02
  1413   0.840682E+03   0.145781E+02  -0.549625E+02   0.178632E+06   0.416296E+02
  1414   0.841381E+03   0.144057E+02  -0.543650E+02   0.178427E+06   0.415699E+02
  1415   0.842028E+03   0.142358E+02  -0.537575E+02   0.178222E+06   0.415083E+02
  1416   0.842630E+03   0.140684E+02  -0.531406E+02   0.178017E+06   0.414447E+02
  1417   0.843180E+03   0.139037E+02  -0.525143E+02   0.177813E+06   0.413790E+02
  1418   0.843686E+03   0.137416E+02  -0.518792E+02   0.177609E+06   0.413115E+02
  1419   0.844140E+03   0.135823E+02  -0.512352E+02   0.177406E+06   0.412420E+02
  1420   0.844542E+03   0.134257E+02  -0.505828E+02   0.177203E+06   0.411705E+02
  1421   0.844891E+03   0.132719E+02  -0.499222E+02   0.177000E+06   0.410971E+02
  1422   0.845189E+03   0.131211E+02  -0.492536E+02   0.176797E+06   0.410219E+02
  1423   0.845442E+03   0.129730E+02  -0.485773E+02   0.176595E+06   0.409447E+02
  1424   0.845636E+03   0.128281E+02  -0.478935E+02   0.176394E+06   0.408657E+02
  1425   0.845777E+03   0.126860E+02  -0.472026E+02   0.176192E+06   0.407848E+02
  1426   0.845867E+03   0.125471E+02  -0.465048E+02   0.175992E+06   0.407021E+02
  1427   0.845897E+03   0.124111E+02  -0.458004E+02   0.175791E+06   0.406176E+02
  1428   0.845875E+03   0.122783E+02  -0.450895E+02   0.175591E+06   0.405312E+02
  1429   0.845802E+03   0.121487E+02  -0.443727E+02   0.175391E+06   0.404431E+02
  1430   0.845676E+03   0.120222E+02  -0.436501E+02   0.175191E+06   0.403532E+02
  1431   0.845491E+03   0.118990E+02  -0.429220E+02   0.174992E+06   0.402615E+02
  1432   0.845253E+03   0.117790E+02  -0.421886E+02   0.174794E+06   0.401681E+02
  1433   0.844957E+03   0.116623E+02  -0.414503E+02   0.174595E+06   0.400729E+02
  1434   0.844608E+03   0.115489E+02  -0.407074E+02   0.174397E+06   0.399761E+02
  1435   0.844200E+03   0.114389E+02  -0.399601E+02   0.174199E+06   0.398775E+02
  1436   0.843740E+03   0.113323E+02  -0.392087E+02   0.174002E+06   0.397773E+02
  1437   0.843220E+03   0.112290E+02  -0.384536E+02   0.173805E+06   0.396753E+02
  1438   0.842641E+03   0.111292E+02  -0.376949E+02   0.173608E+06   0.395717E+02
  1439   0.842010E+03   0.110328E+02  -0.369331E+02   0.173412E+06   0.394665E+02
  1440   0.841327E+03   0.109399E+02  -0.361684E+02   0.173216E+06   0.393597E+02
  1441   0.840585E+03   0.108505E+02  -0.354010E+02   0.173021E+06   0.392512E+02
  1442   0.839783E+03   0.107646E+02  -0.346312E+02   0.172825E+06   0.391412E+02
  1443   0.838922E+03   0.106822E+02  -0.338594E+02   0.172630E+06   0.390296E+02
  1444   0.838008E+03   0.106033E+02  -0.330858E+02   0.172436E+06   0.389164E+02
  1445   0.837035E+03   0.105280E+02  -0.323107E+02   0.172242E+06   0.388017E+02
  1446   0.836003E+03   0.104563E+02  -0.315343E+02   0.172048E+06   0.386854E+02
  1447   0.834919E+03   0.103881E+02  -0.307571E+02   0.171854E+06   0.385676E+02
  1448   0.833775E+03   0.103235E+02  -0.299792E+02   0.171661E+06   0.384483E+02
  1449   0.832572E+03   0.102626E+02  -0.292010E+02   0.171468E+06   0.383276E+02
  1450   0.831317E+03   0.102052E+02  -0.284227E+02   0.171275E+06   0.382053E+02
  1451   0.830010E+03   0.101515E+02  -0.276447E+02   0.171083E+06   0.380816E+02
  1452   0.828643E+03   0.101013E+02  -0.268673E+02   0.170891E+06   0.379565E+02
  1453   0.827217E+03   0.100547E+02  -0.260908E+02   0.170700E+06   0.378300E+02
  1454   0.825739E+03   0.100118E+02  -0.253155E+02   0.170509E+06   0.377020E+02
  1455   0.824209E+03   0.997250E+01  -0.245416E+02   0.170318E+06   0.375727E+02
  1456   0.822627E+03   0.993680E+01  -0.237693E+02   0.170127E+06   0.374420E+02
  1457   0.820993E+03   0.990475E+01  -0.229990E+02   0.169937E+06   0.373100E+02
  1458   0.819300E+03   0.987618E+01  -0.222310E+02   0.169747E+06   0.371766E+02
